species;RBL;RLGA;M1BS;M2S;p4S;diet
Ailurus_fulgens;0.613176628;1.362830013;0.088334559;0.687859593;0.578191706;3
Atelocynus_microtis;0.619310345;0.946018455;0.078854935;0.461683833;0.417426545;2
Bassaricyon_alleni;0.47555027;2.102255663;0.050485268;0.75920393;0.786873047;3
Bassaricyon_gabbii;0.49278828;2.070510386;0.050596435;0.764757482;0.852101792;3
Bassariscus_astutus;0.639533184;1.019270146;0.096370206;0.514879164;0.515023586;3
Bassariscus_sumichrasti;0.604096122;1.304258221;0.076905502;0.646388759;0.612492584;3
Canis_adustus;0.628036024;0.987557938;0.084939261;0.491676796;0.453178401;2
Canis_aureus;0.682656658;0.809597821;0.109873703;0.417597638;0.458079049;2
Canis_latrans;0.696410526;0.72673408;0.109582499;0.376857243;0.447495845;2
Canis_lupus;0.707927026;0.676071589;0.110527988;0.359635579;0.521573528;1
Canis_mesomelas;0.658141474;0.784253606;0.10824219;0.387731696;0.44972372;2
Cerdocyon_thous;0.626430589;0.990779521;0.089526426;0.506073161;0.469945267;3
Chrysocyon_brachyurus;0.642572426;0.852337595;0.088579494;0.424805425;0.510690728;2
Cuon_alpinus;0.743259968;0.578336219;0.123735712;0.317889371;0.488664897;1
Lycaon_pictus;0.710660879;0.67143577;0.119698142;0.359289158;0.492522664;1
Nasua_narica;0.547331478;1.903582564;0.052575053;0.849557862;0.653064657;3
Nasua_nasua;0.525596005;1.83631735;0.04841602;0.772118537;0.577190712;3
Nyctereutes_procyonoides;0.620482881;0.948808182;0.093771914;0.439817223;0.442697302;3
Potos_flavus;0.496343758;2.055692235;0.04514842;0.785832515;0.734598232;3
Procyon_cancrivorous;0.598862316;1.464210257;0.07974141;0.715460142;0.745903078;3
Procyon_lotor;0.631452138;1.47336402;0.081471354;0.74508548;0.702159436;3
Pseudalopex_culpaeus;0.682079666;0.76559551;0.092881357;0.398263169;0.401977146;2
Pseudalopex_griseus;0.641653203;0.875987705;0.100070513;0.435740148;0.39103933;2
Pseudalopex_gymnocercus;0.639570224;0.895556169;0.097871712;0.436815995;0.40952362;2
Pseudalopex_sechurae;0.623971587;1.002734287;0.085978027;0.494241864;0.472713223;3
Speothos_venaticus;0.75043193;0.562424724;0.104993327;0.291314105;0.516683325;1
Urocyon_cinereoargenteus;0.631509359;0.969976572;0.088307053;0.473792227;0.477459204;2
Urocyon_littoralis;0.628086433;0.946804663;0.095303735;0.453853131;0.468111077;2
Vulpes_bengalensis;0.622833725;0.995154903;0.084901117;0.48371983;0.430646675;2
Vulpes_chama;0.623931035;0.952235061;0.088382406;0.459736978;0.451268271;2
Vulpes_lagopus;0.701448929;0.690730145;0.10541797;0.364545579;0.44492979;2
Vulpes_rueppelli;0.657204482;0.88695081;0.098941583;0.448749776;0.420883087;2
Vulpes_velox;0.678806757;0.750106927;0.096550857;0.394028551;0.370190206;2
Vulpes_vulpes;0.67798264;0.775808445;0.099552914;0.395416508;0.403318437;2
Vulpes_zerda;0.609088282;1.056099175;0.09014004;0.508179534;0.394846825;3
